Zipcode,Street,Unit,City,Lat,Long,Block Group
90026,3103 W BELLEVUE AVE,,Los Angeles,34.07817,-118.27831,060371958032012
90210,9727 W OAK PASS ROAD,,Los Angeles,34.11784,-118.42776,060372611023000
90038,703 N MCCADDEN PL,,Los Angeles,34.08376,-118.3376,060371919022007
91405,14926 W VOSE ST,,Los Angeles,34.19831,-118.45846,060371278043000
90011,1900 S CENTRAL AVE,,Los Angeles,34.02411,-118.25055,060372260011034
90011,1920 S CENTRAL AVE,,Los Angeles,34.02385,-118.25079,060372260011034
90210,9729 W OAK PASS ROAD,,Los Angeles,34.11797,-118.42779,060372611023000
90044,1018 W 62ND ST,,Los Angeles,33.98308,-118.29229,060372371011002
90044,1020 W 62ND ST,,Los Angeles,33.98308,-118.29235,060372371011002
90011,1914 S CENTRAL AVE,,Los Angeles,34.02395,-118.2507,060372260011034
90023,921 S EUCLID AVE,,Los Angeles,34.03005,-118.20795,060372047002012
90023,923 S EUCLID AVE,,Los Angeles,34.02998,-118.20799,060372047002012
91405,14928 W VOSE ST,,Los Angeles,34.19831,-118.45848,060371278043000
90011,1305 E WALNUT ST,,Los Angeles,34.02376,-118.2508,060372260011034
90011,1910 S CENTRAL AVE,,Los Angeles,34.02406,-118.2506,060372260011034
90023,925 S EUCLID AVE,,Los Angeles,34.02993,-118.20803,060372047002012
90026,3103 W BELLEVUE AVE,1/2,Los Angeles,34.07817,-118.27831,060371958032012
90035,828 S BEDFORD ST,,Los Angeles,34.06198,-118.38014,060372164021002
90035,826 S BEDFORD ST,,Los Angeles,34.06205,-118.38014,060372164021002
90003,212 W 86TH PL,,Los Angeles,33.9592,-118.27648,060372402003002
90064,2535 S BARRINGTON AVE,,Los Angeles,34.02775,-118.44299,060372713004000
90003,210 W 86TH PL,,Los Angeles,33.9592,-118.2764,060372402003002
90292,115 E HURRICANE ST,1/2,Los Angeles,33.97582,-118.46189,060372742024014
90018,2946 S 11TH AVE,,Los Angeles,34.02849,-118.32917,060372193001000
90032,5071 E BORLAND ROAD,,Los Angeles,34.06959,-118.17401,060372017002000
90018,2948 S 11TH AVE,,Los Angeles,34.02842,-118.32917,060372193001000
90019,1800 S CARMONA AVE,,Los Angeles,34.04125,-118.36052,060372183004010
90019,1800 S CARMONA AVE,,Los Angeles,34.04128,-118.36051,060372183004010
90019,1800 S CARMONA AVE,1/2,Los Angeles,34.04128,-118.36051,060372183004010
90032,5073 E BORLAND ROAD,,Los Angeles,34.06962,-118.17398,060372017002000
90292,115 E HURRICANE ST,,Los Angeles,33.97582,-118.46189,060372742024014
90013,203 E 5TH ST,,Los Angeles,34.046,-118.2472,060372062011004
90027,2350 N HYPERION AVE,,Los Angeles,34.10257,-118.27288,060371951003010
90034,10748 W NATIONAL PL,,Los Angeles,34.03017,-118.41798,060372717041008
90065,1224 N OLANCHA DR,,Los Angeles,34.1161,-118.21799,060371862031008
90016,2110 S CARMONA AVE,,Los Angeles,34.03797,-118.36171,060372184004000
90065,1222 N OLANCHA DR,,Los Angeles,34.11601,-118.21786,060371862031008
90062,5221 S WESTERN AVE,,Los Angeles,33.99445,-118.30923,060372325003000
90037,633 W 46TH ST,,Los Angeles,34.00183,-118.28532,060372321203001
90016,2110 S CARMONA AVE,1/2,Los Angeles,34.03797,-118.36171,060372184004000
90015,600 E 12TH ST,,Los Angeles,34.03415,-118.25433,060372260021043
90016,2112 S CARMONA AVE,1/2,Los Angeles,34.03791,-118.36173,060372184004000
90034,3536 S HUGHES AVE,,Los Angeles,34.02823,-118.40246,060372701012005
90016,2112 S CARMONA AVE,,Los Angeles,34.03791,-118.36173,060372184004000
90015,602 E 12TH ST,,Los Angeles,34.0341,-118.25426,060372260021043
90034,10746 W NATIONAL PL,,Los Angeles,34.03021,-118.4179,060372717041008
90065,4668 E SAN ANDREAS AVE,,Los Angeles,34.11,-118.21526,060371851021006
90291,2355 S OCEAN AVE,,Los Angeles,33.98574,-118.46406,060372739023005
90291,2349 S OCEAN AVE,,Los Angeles,33.98584,-118.46414,060372739023005
91401,6621 N NAGLE AVE,,Los Angeles,34.19079,-118.42379,060371235102010
90291,2351 S OCEAN AVE,,Los Angeles,33.9858,-118.46412,060372739023005
91405,14954 W SHERMAN WAY,,Los Angeles,34.20085,-118.45932,060371278042000
90004,4167 W OAKWOOD AVE,1/8,Los Angeles,34.0778,-118.29769,060371926202003
90004,4167 W OAKWOOD AVE,1/2,Los Angeles,34.0778,-118.29769,060371926202003
90291,2339 S OCEAN AVE,,Los Angeles,33.98597,-118.46426,060372739023005
90012,973 N FIGUEROA TER,,Los Angeles,34.06808,-118.2442,060371977003006
90004,4167 W OAKWOOD AVE,3/4,Los Angeles,34.0778,-118.29769,060371926202003
90001,1015 E 84TH PL,,Los Angeles,33.96209,-118.25712,060372398021003
91401,6619 N NAGLE AVE,,Los Angeles,34.19063,-118.4238,060371235102010
90001,1015 E 84TH PL,1/2,Los Angeles,33.96209,-118.25712,060372398021003
90291,2353 S OCEAN AVE,,Los Angeles,33.98577,-118.46409,060372739023005
90004,4167 W OAKWOOD AVE,,Los Angeles,34.0778,-118.29769,060371926202003
91406,6624 N BALBOA BLVD,,Los Angeles,34.19106,-118.50081,060371321011009
90033,1631 E PENNSYLVANIA AVE,,Los Angeles,34.04894,-118.21946,060372035003007
90065,4672 E SAN ANDREAS AVE,,Los Angeles,34.10986,-118.21514,060371851021006
90033,1631 E PENNSYLVANIA AVE,1/2,Los Angeles,34.04894,-118.21946,060372035003007
90012,969 N FIGUEROA TER,,Los Angeles,34.06798,-118.24403,060371977003006
90012,963 N FIGUEROA TER,,Los Angeles,34.0679,-118.24389,060371977003006
90016,2339 S COCHRAN AVE,,Los Angeles,34.0361,-118.35719,060372184003002
91406,6630 N BALBOA BLVD,,Los Angeles,34.1912,-118.50082,060371321011009
90012,957 N FIGUEROA TER,,Los Angeles,34.0678,-118.24372,060371977003006
90033,1616 N TREMONT ST,,Los Angeles,34.06165,-118.1956,060372031001004
90012,969 N FIGUEROA TER,1/4,Los Angeles,34.06798,-118.24403,060371977003006
90012,963 N FIGUEROA TER,1/2,Los Angeles,34.0679,-118.24389,060371977003006
90016,2341 S COCHRAN AVE,,Los Angeles,34.03603,-118.35721,060372184003002
90004,4167 W OAKWOOD AVE,1/4,Los Angeles,34.0778,-118.29769,060371926202003
90015,1157 S SAN PEDRO ST,,Los Angeles,34.03391,-118.25343,060372260021036
90029,4504 W WILLOW BROOK AVE,1/2,Los Angeles,34.08952,-118.28953,060371914101003
90029,4500 W WILLOW BROOK AVE,,Los Angeles,34.08953,-118.28939,060371914101003
90029,4502 W WILLOW BROOK AVE,1/2,Los Angeles,34.08952,-118.28948,060371914101003
90029,4500 W WILLOW BROOK AVE,1/2,Los Angeles,34.08953,-118.28939,060371914101003
90021,2649 E WASHINGTON BLVD,,Los Angeles,34.01755,-118.2246,060372060511065
90291,49 E BROOKS AVE,,Los Angeles,33.9916,-118.47567,060372734032013
90015,1153 S SAN PEDRO ST,,Los Angeles,34.03397,-118.25338,060372260021036
90017,814 S FRANCISCO ST,,Los Angeles,34.04835,-118.26288,060372077111010
90017,998 W 8TH ST,,Los Angeles,34.0485,-118.26272,060372077111010
90291,1184 E NELROSE AVE,,Los Angeles,33.99395,-118.45055,060372738001008
90015,1151 S SAN PEDRO ST,,Los Angeles,34.034,-118.25336,060372260021036
90029,979 N MADISON AVE,,Los Angeles,34.08947,-118.28947,060371914101003
90025,11517 W LA GRANGE AVE,,Los Angeles,34.03897,-118.44736,060372677002007
90015,1155 S SAN PEDRO ST,,Los Angeles,34.03394,-118.25341,060372260021036
90025,11515 W LA GRANGE AVE,,Los Angeles,34.03908,-118.44717,060372677002007
90017,992 W 8TH ST,,Los Angeles,34.04846,-118.26264,060372077111010
90017,810 S FRANCISCO ST,,Los Angeles,34.04848,-118.26274,060372077111010
91601,5250 N VINELAND AVE,,Los Angeles,34.16628,-118.37016,060371253221000
90029,4502 W WILLOW BROOK AVE,,Los Angeles,34.08952,-118.28948,060371914101003
90008,3825 S BRONSON AVE,,Los Angeles,34.01664,-118.33416,060372342003016
90029,981 N MADISON AVE,,Los Angeles,34.0895,-118.28946,060371914101003
90029,4504 W WILLOW BROOK AVE,,Los Angeles,34.08952,-118.28953,060371914101003
90012,654 W SOLANO AVE,,Los Angeles,34.0766,-118.23329,060372060101005
90012,652 W SOLANO AVE,,Los Angeles,34.07655,-118.23324,060372060101005
91405,14946 W SHERMAN WAY,,Los Angeles,34.20086,-118.45907,060371278042000
90012,281 S FIGUEROA ST,,Los Angeles,34.0554,-118.25452,060372075012001
90043,4528 S 3RD AVE,,Los Angeles,34.0018,-118.32017,060372345021006
90007,1317 W 30TH PL,,Los Angeles,34.02697,-118.29215,060372219002005
90027,2819 N GRIFFITH PARK BLVD,1/2,Los Angeles,34.10795,-118.27405,060371952011003
90027,2819 N GRIFFITH PARK BLVD,,Los Angeles,34.10795,-118.27405,060371952011003
90731,1110 S CABRILLO AVE,,Los Angeles,33.73392,-118.29442,060372969021003
90021,1475 S LONG BEACH AVE,,Los Angeles,34.02476,-118.24191,060372260022041
90025,12247 W SANTA MONICA BLVD,,Los Angeles,34.0398,-118.46554,060372674052002
90018,1405 W 35TH ST,,Los Angeles,34.02471,-118.30052,060372225001000
90019,1325 S STANLEY AVE,,Los Angeles,34.0516,-118.36075,060372169011002
90731,1112 S CABRILLO AVE,,Los Angeles,33.73386,-118.29442,060372969021003
90018,1409 W 35TH ST,,Los Angeles,34.02471,-118.30063,060372225001000
90035,1244 S HI POINT ST,,Los Angeles,34.05255,-118.36854,060372168003002
90032,4050 N JENNINGS DR,,Los Angeles,34.09222,-118.17302,060372011101000
90026,1746 N GLENDALE BLVD,1/2,Los Angeles,34.08707,-118.25943,060371974201002
